# mdm(GeV)	 mAp(GeV)	 Number of Signal Events
2.0675e-01	1.0000e-03	0.0000e+00
2.1656e-01	1.0000e-03	0.0000e+00
2.2683e-01	1.0000e-03	0.0000e+00
2.3760e-01	1.0000e-03	0.0000e+00
2.4887e-01	1.0000e-03	0.0000e+00
2.6068e-01	1.0000e-03	0.0000e+00
2.7305e-01	1.0000e-03	0.0000e+00
2.8601e-01	1.0000e-03	0.0000e+00
2.9958e-01	1.0000e-03	0.0000e+00
3.1379e-01	1.0000e-03	0.0000e+00
3.2868e-01	1.0000e-03	0.0000e+00
3.4428e-01	1.0000e-03	0.0000e+00
3.6062e-01	1.0000e-03	0.0000e+00
3.7773e-01	1.0000e-03	0.0000e+00
3.9565e-01	1.0000e-03	0.0000e+00
4.1443e-01	1.0000e-03	0.0000e+00
4.3409e-01	1.0000e-03	0.0000e+00
4.5469e-01	1.0000e-03	0.0000e+00
4.7627e-01	1.0000e-03	0.0000e+00
4.9887e-01	1.0000e-03	0.0000e+00
5.2254e-01	1.0000e-03	0.0000e+00
5.4734e-01	1.0000e-03	0.0000e+00
5.7331e-01	1.0000e-03	0.0000e+00
6.0051e-01	1.0000e-03	0.0000e+00
6.2901e-01	1.0000e-03	0.0000e+00
6.5886e-01	1.0000e-03	0.0000e+00
6.9012e-01	1.0000e-03	0.0000e+00
7.2287e-01	1.0000e-03	0.0000e+00
7.5717e-01	1.0000e-03	0.0000e+00
7.9310e-01	1.0000e-03	0.0000e+00
8.3074e-01	1.0000e-03	0.0000e+00
8.7016e-01	1.0000e-03	0.0000e+00
9.1145e-01	1.0000e-03	0.0000e+00
9.5470e-01	1.0000e-03	0.0000e+00
1.0000e+00	1.0000e-03	0.0000e+00
1.0000e-03	1.1517e-03	0.0000e+00
1.0475e-03	1.1517e-03	0.0000e+00
1.0972e-03	1.1517e-03	0.0000e+00
1.1492e-03	1.1517e-03	0.0000e+00
1.2038e-03	1.1517e-03	0.0000e+00
1.2609e-03	1.1517e-03	0.0000e+00
1.3207e-03	1.1517e-03	0.0000e+00
1.3834e-03	1.1517e-03	0.0000e+00
1.4490e-03	1.1517e-03	0.0000e+00
1.5178e-03	1.1517e-03	0.0000e+00
1.5898e-03	1.1517e-03	0.0000e+00
1.6652e-03	1.1517e-03	0.0000e+00
1.7443e-03	1.1517e-03	0.0000e+00
1.8270e-03	1.1517e-03	0.0000e+00
1.9137e-03	1.1517e-03	0.0000e+00
2.0045e-03	1.1517e-03	0.0000e+00
2.0997e-03	1.1517e-03	0.0000e+00
2.1993e-03	1.1517e-03	0.0000e+00
2.3036e-03	1.1517e-03	0.0000e+00
2.4130e-03	1.1517e-03	0.0000e+00
2.5275e-03	1.1517e-03	0.0000e+00
2.6474e-03	1.1517e-03	0.0000e+00
2.7730e-03	1.1517e-03	0.0000e+00
2.9046e-03	1.1517e-03	0.0000e+00
3.0424e-03	1.1517e-03	0.0000e+00
3.1868e-03	1.1517e-03	0.0000e+00
3.3380e-03	1.1517e-03	0.0000e+00
3.4964e-03	1.1517e-03	0.0000e+00
3.6623e-03	1.1517e-03	0.0000e+00
