#mass central error
0 -0.29314633369345 0.6507983051107961
0.0839355791419485 -0.29126074942859004 0.648957879873451
0.171441732059447 -0.28015828659391623 0.6451184939641702
0.250620560303107 -0.270941522471486 0.643164806767133
0.329817452157774 -0.2471912602416617 0.6375157880663966
0.409020365216109 -0.21872581323192633 0.6307605435346874
0.492401993620535 -0.18603186019159687 0.6233932784259089
0.592486441001988 -0.11819340935517687 0.6061780974342479
0.688422279055695 -0.023350273297098857 0.576409120025855
0.792697484190577 0.06819361171865135 0.5463266714585567
0.892980631293099 0.14191518541876727 0.5160029232007367
0.993040993859878 0.19528998724915472 0.4951877802089492
1.09326995012938 0.2128846223944922 0.48847647069482175
1.18911547012806 0.22452451689255404 0.484103416374446
1.29746703014666 0.24072794953129587 0.4787870726192071
1.39330652894167 0.24844829305786434 0.47472461032138563
1.49330065826809 0.2472808813850556 0.4723244588204784
1.5932586603725 0.21446376946887818 0.4762849521543178
1.68898977750147 0.15538238254482098 0.4812169018351221
1.7972209134467 0.10824957447647256 0.46336963256111036
1.89271720363259 0.0712606849530298 0.4317619592886663
1.9925788664783 0.00878484676972725 0.41480306807238976
2.09228397802863 -0.011400946630072281 0.3808431874812293
2.1963303774241 -0.07634872657902345 0.3735816824330635
2.29209762177508 -0.10122880325630988 0.3587669739243169
2.34625232757154 -0.09660674010527079 0.3469420458845728
2.3920736874905 -0.09890015465756577 0.3420325955481618
2.43790708981679 -0.09459920836117616 0.3377542287655302
2.49207985922426 -0.08875947533540876 0.3355497974547518
2.54210401930398 -0.0704262534134556 0.3316900438514826
2.5921281793837 -0.054137664023259084 0.3298749227799711
2.64216438187076 -0.027279417535961827 0.3247155890138208
2.69219456315415 -0.0057774487030363645 0.3212998107008114
2.74241140175127 0.009108792279860679 0.3208870380365983
2.79243556183099 0.026269918107623944 0.31819938052752
2.84245370070704 0.039182524402415014 0.316147520350181
2.88830516664434 0.05272336250247364 0.31346742836757535
2.94248997845914 0.06436388766244008 0.31268764932506093
2.9925261809462 0.09303901647533605 0.30571143323331296
3.042767104358 0.1295528762100378 0.2981219306222222
3.09278524323405 0.14275767824427182 0.3030033191079042
3.14280940331377 0.16049011777851813 0.3033570700935738
3.18866086925107 0.16563698414211658 0.30545822764619546
3.24282761745487 0.17112331425961042 0.30360719924369156
3.29282167151625 0.17291557289430273 0.29822479792152534
3.33863701023153 0.16871609701554224 0.29160868671034873
3.39277365241699 0.1634605863241135 0.2788231659093765
3.44271351564535 0.1374318021597565 0.2723600297764065
3.48849272713862 0.1133839028761643 0.2675287309639026
